,Threshold,min FDP+
Fold n°1,0.2799999999999999,0.5
Fold n°2,0.20999999999999996,0.36363636363636365
Fold n°3,0.2899999999999999,0.5
Fold n°4,0.32999999999999985,0.3333333333333333
Fold n°5,0.16999999999999998,0.9
Fold n°6,0.24999999999999992,0.25
Fold n°7,0.16999999999999998,0.5
Fold n°8,0.1,0.6551724137931034
Fold n°9,0.2599999999999999,0.3333333333333333
Fold n°10,0.1,0.6153846153846154
Fold n°11,0.22999999999999995,0.18181818181818182
Fold n°12,0.12,0.25
Fold n°13,0.2599999999999999,0.2857142857142857
Fold n°14,0.2599999999999999,0.2
Fold n°15,0.18999999999999995,0.36363636363636365
Fold n°16,0.18999999999999995,0.2727272727272727
Fold n°17,0.7499999999999997,1.0
Fold n°18,0.24999999999999992,0.375
Fold n°19,0.17999999999999997,0.2857142857142857
Fold n°20,0.14999999999999997,0.625
Fold n°21,0.32999999999999985,0.4
Fold n°22,0.3699999999999999,0.3333333333333333
Fold n°23,0.22999999999999995,0.625
Fold n°24,0.2699999999999999,0.8
Fold n°25,0.29999999999999993,0.3333333333333333
Fold n°26,0.21999999999999995,0.6363636363636364
Fold n°27,0.30999999999999994,0.25
Fold n°28,0.22999999999999995,0.42857142857142855
Fold n°29,0.2799999999999999,0.75
Fold n°30,0.14999999999999997,0.34782608695652173
Fold n°31,0.3899999999999999,0.3333333333333333
Fold n°32,0.29999999999999993,0.6666666666666666
Fold n°33,0.21999999999999995,0.16666666666666666
Fold n°34,0.16999999999999998,0.5833333333333334
Fold n°35,0.2899999999999999,0.16666666666666666
Fold n°36,0.16999999999999998,0.7142857142857143
Fold n°37,0.21999999999999995,0.5
Fold n°38,0.18999999999999995,0.5454545454545454
Fold n°39,0.21999999999999995,0.5
Fold n°40,0.23999999999999994,0.125
Fold n°41,0.4299999999999998,0.3333333333333333
Fold n°42,0.3599999999999999,0.3333333333333333
Fold n°43,0.4299999999999998,0.5
Fold n°44,0.2699999999999999,0.5
Fold n°45,0.13999999999999999,0.6190476190476191
Fold n°46,0.17999999999999997,0.7692307692307693
Fold n°47,0.20999999999999996,0.2222222222222222
Fold n°48,0.24999999999999992,0.5
Fold n°49,0.22999999999999995,0.18181818181818182
Fold n°50,0.22999999999999995,0.3
Fold n°51,0.1,0.6206896551724138
Fold n°52,0.1,0.8571428571428571
Fold n°53,0.2599999999999999,0.2857142857142857
Fold n°54,0.11,0.8571428571428571
Fold n°55,0.3199999999999999,0.25
Fold n°56,0.2799999999999999,0.16666666666666666
Fold n°57,0.2899999999999999,0.3333333333333333
Fold n°58,0.3699999999999999,0.5
Fold n°59,0.2799999999999999,0.14285714285714285
Fold n°60,0.14999999999999997,0.2
Fold n°61,0.2599999999999999,0.14285714285714285
Fold n°62,0.16999999999999998,0.5
Fold n°63,0.18999999999999995,0.46153846153846156
Fold n°64,0.3799999999999999,0.3333333333333333
Fold n°65,0.23999999999999994,0.375
Fold n°66,0.16999999999999998,0.5714285714285714
Fold n°67,0.16999999999999998,0.7333333333333333
Fold n°68,0.21999999999999995,0.5
Fold n°69,0.12,0.5652173913043478
Fold n°70,0.32999999999999985,0.2
Fold n°71,0.2899999999999999,0.2
Fold n°72,0.3999999999999998,0.5
Fold n°73,0.2799999999999999,0.6666666666666666
Fold n°74,0.15999999999999998,0.4
Fold n°75,0.22999999999999995,0.3333333333333333
Fold n°76,0.15999999999999998,0.35294117647058826
Fold n°77,0.2699999999999999,0.2
Fold n°78,0.23999999999999994,0.3333333333333333
Fold n°79,0.3799999999999999,0.3333333333333333
Fold n°80,0.23999999999999994,0.5
Fold n°81,0.21999999999999995,0.25
Fold n°82,0.22999999999999995,0.4166666666666667
Fold n°83,0.29999999999999993,0.125
Fold n°84,0.2699999999999999,0.16666666666666666
Fold n°85,0.13999999999999999,0.6363636363636364
Fold n°86,0.1,0.64
Fold n°87,0.16999999999999998,0.6428571428571429
Fold n°88,0.24999999999999992,0.25
Fold n°89,0.17999999999999997,0.45454545454545453
Fold n°90,0.30999999999999994,0.3333333333333333
Fold n°91,0.2599999999999999,0.25
Fold n°92,0.29999999999999993,0.25
Fold n°93,0.3899999999999999,0.3333333333333333
Fold n°94,0.2599999999999999,0.4444444444444444
Fold n°95,0.3999999999999998,0.5
Fold n°96,0.3199999999999999,0.3333333333333333
Fold n°97,0.20999999999999996,0.25
Fold n°98,0.4099999999999998,0.5
Fold n°99,0.2599999999999999,0.25
Fold n°100,0.3599999999999999,0.3333333333333333
