,Threshold,min FDP+
Fold n°1,0.7799999999999997,0.5
Fold n°2,0.9099999999999996,0.4
Fold n°3,0.7999999999999996,0.3333333333333333
Fold n°4,0.8799999999999996,0.4444444444444444
Fold n°5,0.7499999999999997,0.4444444444444444
Fold n°6,0.8699999999999996,0.5
Fold n°7,0.9199999999999996,0.25
Fold n°8,0.8399999999999996,0.4
Fold n°9,0.8699999999999996,0.25
Fold n°10,0.8299999999999996,0.5
Fold n°11,0.8099999999999996,0.16666666666666666
Fold n°12,0.9499999999999995,0.5
Fold n°13,0.3599999999999999,0.6943620178041543
Fold n°14,0.8899999999999996,0.3333333333333333
Fold n°15,0.8299999999999996,0.42857142857142855
Fold n°16,0.7899999999999996,0.5
Fold n°17,0.7599999999999997,0.3125
Fold n°18,0.8499999999999996,0.25
Fold n°19,0.3699999999999999,0.5243553008595988
Fold n°20,0.8299999999999996,0.5
Fold n°21,0.9299999999999996,0.16666666666666666
Fold n°22,0.8499999999999996,0.1111111111111111
Fold n°23,0.9399999999999996,0.5
Fold n°24,0.3799999999999999,0.7137931034482758
Fold n°25,0.3599999999999999,0.6811594202898551
Fold n°26,0.9199999999999996,0.5
Fold n°27,0.8499999999999996,0.2727272727272727
Fold n°28,0.8699999999999996,0.125
Fold n°29,0.8699999999999996,0.2
Fold n°30,0.7699999999999997,0.2857142857142857
Fold n°31,0.8599999999999995,0.3333333333333333
Fold n°32,0.8999999999999996,0.3333333333333333
Fold n°33,0.8799999999999996,0.2857142857142857
Fold n°34,0.8699999999999996,0.5
Fold n°35,0.9099999999999996,0.4
Fold n°36,0.8999999999999996,0.5
Fold n°37,0.9099999999999996,0.16666666666666666
Fold n°38,0.7799999999999997,0.2857142857142857
Fold n°39,0.8499999999999996,0.2
Fold n°40,0.6699999999999997,0.5
Fold n°41,0.9099999999999996,0.25
Fold n°42,0.9099999999999996,0.25
Fold n°43,0.5799999999999997,0.49382716049382713
Fold n°44,0.8699999999999996,0.3333333333333333
Fold n°45,0.8499999999999996,0.2
Fold n°46,0.8599999999999995,0.25
Fold n°47,0.8399999999999996,0.2222222222222222
Fold n°48,0.8399999999999996,0.1
Fold n°49,0.9099999999999996,0.25
Fold n°50,0.7799999999999997,0.42105263157894735
Fold n°51,0.3799999999999999,0.599250936329588
Fold n°52,0.8699999999999996,0.3333333333333333
Fold n°53,0.7399999999999997,0.625
Fold n°54,0.9199999999999996,0.3333333333333333
Fold n°55,0.8299999999999996,0.3
Fold n°56,0.3799999999999999,0.6494464944649446
Fold n°57,0.7599999999999997,0.5
Fold n°58,0.6399999999999997,0.5217391304347826
Fold n°59,0.5999999999999998,0.47368421052631576
Fold n°60,0.8099999999999996,0.16666666666666666
Fold n°61,0.7799999999999997,0.5555555555555556
Fold n°62,0.9499999999999995,0.3333333333333333
Fold n°63,0.24999999999999992,0.7382075471698113
Fold n°64,0.32999999999999985,0.6758793969849246
Fold n°65,0.6699999999999997,0.5238095238095238
Fold n°66,0.7099999999999996,0.10526315789473684
Fold n°67,0.7899999999999996,0.625
Fold n°68,0.7599999999999997,0.2857142857142857
Fold n°69,0.4099999999999998,0.6264591439688716
Fold n°70,0.9399999999999996,0.5
Fold n°71,0.9099999999999996,0.3333333333333333
Fold n°72,0.9099999999999996,0.14285714285714285
Fold n°73,0.7299999999999996,0.38461538461538464
Fold n°74,0.8899999999999996,0.2
Fold n°75,0.9199999999999996,0.2
Fold n°76,0.7499999999999997,0.08333333333333333
Fold n°77,0.8499999999999996,0.5555555555555556
Fold n°78,0.9499999999999995,0.25
Fold n°79,0.9499999999999995,0.5
Fold n°80,0.8599999999999995,0.4
Fold n°81,0.8699999999999996,0.3333333333333333
Fold n°82,0.6299999999999997,0.5
Fold n°83,0.9199999999999996,0.3333333333333333
Fold n°84,0.8199999999999996,0.4
Fold n°85,0.8799999999999996,0.25
Fold n°86,0.29999999999999993,0.7188208616780045
Fold n°87,0.33999999999999986,0.7150537634408602
Fold n°88,0.7999999999999996,0.2222222222222222
Fold n°89,0.8099999999999996,0.6666666666666666
Fold n°90,0.8499999999999996,0.125
Fold n°91,0.3899999999999999,0.6
Fold n°92,0.7499999999999997,0.6818181818181818
Fold n°93,0.7399999999999997,0.6071428571428571
Fold n°94,0.8699999999999996,0.4
Fold n°95,0.8999999999999996,0.6666666666666666
Fold n°96,0.7399999999999997,0.15384615384615385
Fold n°97,0.8499999999999996,0.16666666666666666
Fold n°98,0.9199999999999996,0.5
Fold n°99,0.8499999999999996,0.16666666666666666
Fold n°100,0.7599999999999997,0.4117647058823529
