,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
artificial.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.00027094632969237864,0.0,0.00010565077536739409,0.00016705915913917124,2.6358158720540814e-05,0.00027094632969237864,0.0,0.00010565077536739409,0.00016705915913917124,2.6358158720540814e-05,0.00027094632969237864,0.0,0.00010565077536739409,0.00016705915913917124,2.6358158720540814e-05
artificial.3,0.0,4.4940657971892506e-05,0.0,3.147318784613162e-05,0.0,0.0,4.4940657971892506e-05,0.0,3.147318784613162e-05,0.0,0.0,4.4940657971892506e-05,0.0,3.147318784613162e-05,0.0
artificial.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.0,0.0,0.0,2.8417050998541526e-05,0.0,0.0,0.0,0.0,2.8417050998541526e-05,0.0,0.0,0.0,0.0,2.8417050998541526e-05,0.0
artificial.6,0.0,5.506756860995665e-05,0.0,1.3413941815088037e-05,0.0,0.0,5.506756860995665e-05,0.0,1.3413941815088037e-05,0.0,0.0,5.506756860995665e-05,0.0,1.3413941815088037e-05,0.0
artificial.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.9,0.0,4.3120409827679396e-05,0.0,2.2921309209777974e-05,0.0,0.0,4.3120409827679396e-05,0.0,2.2921309209777974e-05,0.0,0.0,4.3120409827679396e-05,0.0,2.2921309209777974e-05,0.0
artificial.10,0.0,6.052901881048456e-05,0.0,0.0,0.0,0.0,6.052901881048456e-05,0.0,0.0,0.0,0.0,6.052901881048456e-05,0.0,0.0,0.0
artificial.11,0.008806077763438225,0.009420585818588734,0.009128275327384472,0.006207299884408712,0.0021993019618093967,0.008806077763438225,0.009420585818588734,0.009128275327384472,0.006207299884408712,0.0021993019618093967,0.008806077763438225,0.009420585818588734,0.009128275327384472,0.006207299884408712,0.0021993019618093967
artificial.12,0.0009436194668523967,0.0012258302886039019,0.0009738531080074608,0.0007014289731159806,0.0,0.0009436194668523967,0.0012258302886039019,0.0009738531080074608,0.0007014289731159806,0.0,0.0009436194668523967,0.0012258302886039019,0.0009738531080074608,0.0007014289731159806,0.0
artificial.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.0,0.0,1.5906276530586183e-05,0.0,0.0,0.0,0.0,1.5906276530586183e-05,0.0,0.0,0.0,0.0,1.5906276530586183e-05,0.0,0.0
artificial.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.006349143572151661,0.006895809434354305,0.007197547238320112,0.005553030874580145,0.001405067159794271,0.006349143572151661,0.006895809434354305,0.007197547238320112,0.005553030874580145,0.001405067159794271,0.006349143572151661,0.006895809434354305,0.007197547238320112,0.005553030874580145,0.001405067159794271
artificial.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.0010423061903566122,0.0009081296157091856,0.0007628481253050268,0.0003466417547315359,0.0,0.0010423061903566122,0.0009081296157091856,0.0007628481253050268,0.0003466417547315359,0.0,0.0010423061903566122,0.0009081296157091856,0.0007628481253050268,0.0003466417547315359,0.0
artificial.20,0.0004953857278451324,0.0006713767070323229,0.0005848569562658668,0.00022280610573943704,0.0,0.0004953857278451324,0.0006713767070323229,0.0005848569562658668,0.00022280610573943704,0.0,0.0004953857278451324,0.0006713767070323229,0.0005848569562658668,0.00022280610573943704,0.0
artificial.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.22,0.0,0.0,0.00011348245607223362,0.0,0.0,0.0,0.0,0.00011348245607223362,0.0,0.0,0.0,0.0,0.00011348245607223362,0.0,0.0
artificial.23,0.0002013738703681156,0.0002839668304659426,0.00031786912586539984,1.12214538603439e-05,0.0,0.0002013738703681156,0.0002839668304659426,0.00031786912586539984,1.12214538603439e-05,0.0,0.0002013738703681156,0.0002839668304659426,0.00031786912586539984,1.12214538603439e-05,0.0
artificial.24,0.000991510460153222,0.001391743659041822,0.0013676033122465014,0.0005026832222938538,0.0,0.000991510460153222,0.001391743659041822,0.0013676033122465014,0.0005026832222938538,0.0,0.000991510460153222,0.001391743659041822,0.0013676033122465014,0.0005026832222938538,0.0
artificial.25,0.0,0.0,0.0,6.742017376382137e-06,0.0,0.0,0.0,0.0,6.742017376382137e-06,0.0,0.0,0.0,0.0,6.742017376382137e-06,0.0
artificial.26,0.0,0.0,0.0,1.8167340385844e-05,0.0,0.0,0.0,0.0,1.8167340385844e-05,0.0,0.0,0.0,0.0,1.8167340385844e-05,0.0
artificial.27,0.0,0.0,0.0,2.5855828425846994e-05,0.0,0.0,0.0,0.0,2.5855828425846994e-05,0.0,0.0,0.0,0.0,2.5855828425846994e-05,0.0
artificial.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.29,0.0,0.0,2.121688157785684e-05,6.638144895987352e-06,0.0,0.0,0.0,2.121688157785684e-05,6.638144895987352e-06,0.0,0.0,0.0,2.121688157785684e-05,6.638144895987352e-06,0.0
