,Fold selected features,Fold nb of features
Fold 0,"['CCL20', 'CRTAC1', 'MDGA1', 'MZB1', 'PON3', 'S100A16', 'SCP2']",7
Fold 1,"['BAIAP2', 'CD1C', 'CES2', 'CHIT1', 'CPA2', 'FOSB', 'JUN', 'LAIR2', 'LYPD1', 'MDGA1', 'MZB1', 'PON3', 'PSIP1', 'S100A16', 'SDC1', 'TNFRSF8']",16
Fold 2,"['CRTAC1', 'FOSB', 'KIR2DL3', 'LILRB1', 'MDGA1', 'MZB1', 'PON3', 'SIGLEC9', 'TNFRSF8']",9
Fold 3,"['AMY2A', 'CAPG', 'CCL15', 'CCL19', 'CDHR1', 'CEACAM3', 'CPA2', 'CRTAC1', 'CTSH', 'CXCL8', 'DPT', 'DSG4', 'FBP1', 'FOSB', 'HPGDS', 'IGF2R', 'IL13', 'IL16', 'IL2RA', 'MDGA1', 'MSLN', 'MZB1', 'PON3', 'SMOC2', 'TNC', 'XPNPEP2']",26
Fold 4,"['CCL20', 'CRTAC1', 'MDGA1', 'MZB1']",4
Fold 5,"['AOC1', 'BAIAP2', 'CCL15', 'CCL20', 'CES2', 'CNTN1', 'CRTAC1', 'CTSH', 'DKKL1', 'FBP1', 'FOSB', 'GFRA2', 'MDGA1', 'NOMO1', 'NPTN', 'S100A16']",16
Fold 6,"['AOC1', 'CCL20', 'CHIT1', 'CXCL13', 'LYPD1', 'MUC13', 'MZB1', 'NDRG1']",8
Fold 7,"['CCL20', 'CRTAC1', 'MDGA1', 'SSB']",4
Fold 8,"['CPA2', 'CRTAC1', 'CTSH', 'MDGA1']",4
Fold 9,"['CCL20', 'CD276', 'CXCL8', 'DPT', 'LILRB1', 'MDGA1', 'PON3', 'S100A16']",8
Fold 10,"['AOC1', 'CCL20', 'CES2', 'CLSPN', 'CPA2', 'CRTAC1', 'CTSF', 'EPCAM', 'FBP1', 'FOSB', 'GNLY', 'GPA33', 'HDGF', 'HPGDS', 'IL17C', 'IL5RA', 'KIR2DL3', 'LYPD1', 'MDGA1', 'MZB1', 'NDRG1', 'PDGFC', 'PON3', 'SIGLEC9', 'SMPDL3A', 'SRP14', 'SSB', 'TMPRSS5', 'TNFRSF8', 'XPNPEP2']",30
Fold 11,[],0
Fold 12,"['MZB1', 'PON3', 'TNC', 'VWF']",4
Fold 13,"['CCL15', 'CCL20', 'CES2', 'CRTAC1', 'FABP4', 'FBP1', 'HLA-DRA', 'IL13', 'LGALS1', 'MDGA1', 'MZB1', 'S100A16', 'TMPRSS5', 'XPNPEP2']",14
Fold 14,"['BAIAP2', 'CCL20', 'CPA2', 'CTSH', 'CXCL8', 'FOSB', 'LGALS1', 'MDGA1', 'MZB1', 'NINJ1', 'SIGLEC7', 'SIGLEC9']",12
Fold 15,"['AMY2A', 'ANGPTL2', 'AOC1', 'CCL20', 'CPA2', 'CRTAC1', 'FCAR', 'FOSB', 'HLA-DRA', 'IGF2R', 'KIR2DL3', 'LEP', 'LGALS1', 'MDGA1', 'NOMO1', 'PON3', 'TNFRSF8']",17
Fold 16,"['ADGRG1', 'AOC1', 'CCL20', 'CXCL8', 'FOSB', 'LGALS1', 'MDGA1', 'MSLN', 'MUC13', 'PON3', 'TFPI2']",11
Fold 17,"['CCL20', 'CPA2', 'DSG4', 'MDGA1', 'MZB1']",5
Fold 18,"['CCL15', 'CEACAM5', 'CRTAC1', 'FBP1', 'FOSB', 'HLA-DRA', 'MDGA1', 'MZB1', 'PM20D1', 'PON3', 'TDGF1', 'TMPRSS5', 'XPNPEP2']",13
Fold 19,"['BAIAP2', 'CCL20', 'CHIT1', 'CNTN5', 'CRTAC1', 'CSTB', 'FBP1', 'HDGF', 'IL16', 'IL17C', 'IL2RA', 'ISLR2', 'JUN', 'LGALS1', 'LYPD1', 'MAGED1', 'MDGA1', 'MZB1', 'NDRG1', 'PDGFC', 'PSIP1', 'RANGAP1', 'S100A16', 'SRP14']",24
Fold 20,[],0
Fold 21,"['CCL20', 'CXCL8', 'FOSB', 'MDGA1']",4
