,Max Proba
IL.1.R4,0.984
Angiopoietin.2,0.97
Siglec.6,0.765
PLXB2,0.722
SLPI,0.657
Antithrombin.III,0.534
Activin.A,0.489
sTie.2,0.448
VEGF121,0.43
S100A12,0.353
SLIK5,0.347
GPNMB,0.34
NEGR1,0.279
HCG,0.264
BID,0.247
PAI.1,0.239
GDF2,0.238
RELT,0.235
Angiogenin,0.214
AFP,0.207
EphB4,0.19
Growth.hormone.receptor,0.162
MIP.1a,0.16
annexin.II,0.159
uPA,0.151
ROBO2,0.148
Cystatin.C,0.144
annexin.I,0.143
CD5L,0.139
b2.Microglobulin,0.137
ALCAM,0.125
SPINT2,0.118
DERM,0.114
Ku70,0.114
VEGF.sR2,0.112
PTN,0.109
BGN,0.108
TIG2,0.107
MMP.12,0.106
Vitronectin,0.104
Notch.1,0.102
GPC2,0.101
GP1BA,0.098
HPLN1,0.098
RAP,0.097
SDF.1,0.096
FABP,0.094
DLC8,0.091
GRN,0.086
GP114,0.081
CHL1,0.08
TLR4.MD.2.complex,0.079
TIMP.3,0.079
TGF.b1,0.076
Cadherin.5,0.076
Trypsin.2,0.075
ASAH2,0.073
SH21A,0.072
AN32B,0.071
OLR1,0.07
MCP.3,0.068
Angiotensinogen,0.067
CAMK1D,0.067
MO2R1,0.065
Trypsin,0.064
PlGF,0.063
X3HIDH,0.061
Rb,0.059
ROR1,0.059
C1.Esterase.Inhibitor,0.056
Thymidine.kinase,0.055
ATPO,0.055
H2B2E,0.054
GREM1,0.053
IL.12.RB2,0.051
Kallikrein.7,0.05
Thyroxine.Binding.Globulin,0.05
Testican.1,0.047
IP.10,0.045
LAG.3,0.045
ILT.2,0.045
FSH,0.045
IL.1F6,0.044
SCGF.beta,0.044
AMGO2,0.042
Endostatin,0.042
PARC,0.042
CDK1.cyclin.B,0.041
Met,0.04
HEMK2,0.039
Gelsolin,0.039
MDM2,0.038
NKp30,0.038
G.CSF.R,0.037
SSRP1,0.036
PLXC1,0.036
IL.18.Ra,0.035
cIAP.2,0.035
sL.Selectin,0.035
Plasminogen,0.034
PCSK9,0.034
FGF.10,0.034
PDE1A,0.033
LBP,0.033
C1QR1,0.032
a1.Antitrypsin,0.032
SET,0.032
SCF.sR,0.032
GA733.1.protein,0.032
PRL,0.031
Troponin.I..skeletal..fast.twitch,0.031
Galectin.7,0.031
STAT1,0.031
LYVE1,0.031
contactin.1,0.031
sTie.1,0.029
CD59,0.029
ANK2,0.028
PolyUbiquitin.K63,0.028
TFF1,0.027
a2.HS.Glycoprotein,0.026
MIC.1,0.026
ECM1,0.024
IGFBP.6,0.024
TF,0.023
CYTN,0.023
NID2,0.023
HGF,0.023
eIF.5,0.023
SP.D,0.023
C1q,0.023
IL.1.sR9,0.022
BMPER,0.022
ISLR2,0.022
PDE11,0.022
MIS,0.021
IGFBP.2,0.021
CD97,0.021
granzyme.A,0.02
sICAM.2,0.02
transcription.factor.MLR1..isoform.CRA_b,0.019
COLEC12,0.019
Ferritin,0.019
PSMA,0.019
OX2G,0.019
MED.1,0.018
Neurotrophin.3,0.018
TNFSF15,0.018
LEG9,0.018
vWF,0.018
calgranulin.B,0.018
MEPE,0.017
MK11,0.017
FGF.20,0.017
IL.8,0.017
Cathepsin.D,0.017
IL.1a,0.017
Collectin.Kidney.1,0.017
MP2K2,0.017
GFRa.1,0.017
NUDC3,0.017
TCCR,0.017
SCGF.alpha,0.016
Stanniocalcin.1,0.016
FSTL3,0.016
TSP2,0.016
Protein.C,0.015
CK.MB,0.015
Granulysin,0.014
Nogo.Receptor,0.014
FGF.19,0.013
kallikrein.13,0.013
BLC,0.013
DYRK3,0.013
GPC6,0.013
ALK.1,0.012
CATE,0.012
PIAS4,0.012
NXPH1,0.012
CTGF,0.012
Histone.H2A.z,0.012
BSSP4,0.012
Troponin.T,0.012
Survivin,0.012
IL.1Ra,0.011
EPO.R,0.011
IL.7,0.011
BMP10,0.011
LSAMP,0.011
CLC4K,0.011
Glutathione.S.transferase.Pi,0.011
PERL,0.011
X41,0.01
CTACK,0.01
SHPS1,0.01
CD38,0.01
H2A3,0.01
FGF.8B,0.01
CATC,0.01
CYTF,0.01
GHC2,0.01
Cadherin.E,0.01
ATP.synthase.beta.chain,0.01
BNP.32,0.01
Insulin,0.01
discoidin.domain.receptor.1,0.009
SARP.2,0.009
RBM39,0.009
Dtk,0.009
FCG2B,0.009
PAFAH.beta.subunit,0.009
C1r,0.009
ANGL4,0.009
TrkA,0.009
Trefoil.factor.2,0.009
LY9,0.009
NET4,0.009
dopa.decarboxylase,0.009
CAPG,0.009
MAPKAPK3,0.009
sRANKL,0.009
CYTT,0.009
DSC2,0.009
QORL1,0.009
Semaphorin.3A,0.009
DPP2,0.008
JAG1,0.008
CLF.1.CLC.Complex,0.008
IL.11,0.008
EGF,0.008
TRAIL.R4,0.008
ALT,0.007
Cripto,0.007
Coagulation.Factor.V,0.007
Midkine,0.007
PDGFRA,0.007
ULBP.2,0.007
IDE,0.007
NOTC2,0.007
LGMN,0.007
Adiponectin,0.007
NEUREGULIN.1,0.007
MMP.2,0.007
Nectin.like.protein.1,0.007
GI24,0.007
Thyroglobulin,0.007
Aminoacylase.1,0.007
Protease.nexin.I,0.007
ADAM12,0.006
Artemin,0.006
a2.Antiplasmin,0.006
Discoidin.domain.receptor.2,0.006
P.Selectin,0.006
Transferrin,0.006
DSCAM,0.006
CD30.Ligand,0.006
Osteopontin,0.006
NET1,0.006
Troponin.I,0.006
MMP.3,0.006
AK1A1,0.006
cGMP.stimulated.PDE,0.006
Granzyme.B,0.006
IDUA,0.006
Lamin.B1,0.006
C2,0.006
Cathepsin.A,0.006
IL.15.Ra,0.006
ADAMTS.5,0.006
CDK2.cyclin.A,0.006
LIN7B,0.006
Activin.AB,0.005
IFN.aA,0.005
LIF.sR,0.005
TGF.b.R.II,0.005
PSA2,0.005
Kallistatin,0.005
FGF23,0.005
NADPH.P450.Oxidoreductase,0.005
RET,0.005
Protein.S,0.005
Contactin.5,0.005
IMDH2,0.005
IL.20,0.005
IL.23.R,0.005
kallikrein.12,0.005
HIV.2.Rev,0.005
Carbonic.anhydrase.VII,0.005
gp130..soluble,0.005
Renin,0.005
Caspase.10,0.005
CD36.ANTIGEN,0.005
TIMP.2,0.005
Desmoglein.1,0.005
Coagulation.Factor.Xa,0.005
X6Ckine,0.005
UNC5H4,0.004
FCN1,0.004
CK2.A1.B,0.004
ERBB2,0.004
NCC27,0.004
P.Cadherin,0.004
Cathepsin.S,0.004
Factor.B,0.004
ApoM,0.004
CDK5.p35,0.004
Cadherin.2,0.004
SMOC1,0.004
X14.3.3.protein.theta,0.004
EPI,0.004
Myoglobin,0.004
ASGR1,0.004
ETHE1,0.004
ADAM.9,0.004
Hemoglobin,0.004
SLAF7,0.004
STK16,0.004
FGF.17,0.004
IGF.II.receptor,0.004
C34.gp41.HIV.Fragment,0.004
Coagulation.Factor.IX,0.004
Histone.H1.2,0.004
Eotaxin.3,0.004
RS3A,0.003
Thrombopoietin.Receptor,0.003
TAFI,0.003
PYY,0.003
CNTF,0.003
IL.27,0.003
HDAC8,0.003
Chk2,0.003
MBD4,0.003
PAK7,0.003
PLCG1,0.003
FN1.3,0.003
Ck.b.8.1,0.003
Ephrin.A4,0.003
MMP.9,0.003
PolyUbiquitin.K48,0.003
Coactosin.like.protein,0.003
BSP,0.003
Cathepsin.V,0.003
CRTAM,0.003
Hemopexin,0.003
Coagulation.Factor.VII,0.003
ZNRF3,0.003
PIGR,0.003
ERAB,0.003
CSRP3,0.003
gpIIbIIIa,0.003
CLC7A,0.003
Endothelin.converting.enzyme.1,0.003
VEGF.D,0.003
TLR4,0.003
MMP.8,0.003
IL.10.Ra,0.003
Glutamate.carboxypeptidase,0.003
Enterokinase,0.003
HGFA,0.003
ABL2,0.003
sFRP.3,0.003
MMP.16,0.003
PAPP.A,0.003
Factor.H,0.003
SREC.I,0.003
Heparin.cofactor.II,0.003
FCG2A,0.003
Prekallikrein,0.003
calreticulin,0.003
Clusterin,0.003
WISP.1,0.003
FABPE,0.003
FETUB,0.003
INGR2,0.002
TCPTP,0.002
LDH.H.1,0.002
ON,0.002
TBK1,0.002
CATZ,0.002
MDHC,0.002
Hat1,0.002
IL.1b,0.002
FLRT2,0.002
PH,0.002
SORC2,0.002
X17.beta.HSD.1,0.002
Glucagon,0.002
GOT1,0.002
MCP.1,0.002
CAD15,0.002
SAP,0.002
Ephrin.B3,0.002
GFRa.2,0.002
CD63,0.002
Proteinase.3,0.002
Factor.D,0.002
Protein.disulfide.isomerase.A3,0.002
Cytochrome.c,0.002
Catalase,0.002
RXFP1,0.002
a2.Macroglobulin,0.002
Angiostatin,0.002
RANTES,0.002
RBP,0.002
Myostatin,0.002
C4b,0.002
MP2K4,0.002
NKp44,0.002
FCN2,0.002
IL.6.sRa,0.002
IL.17E,0.002
ENTP5,0.002
HRG,0.002
FGFR4,0.002
JAK2,0.002
suPAR,0.002
Cyclin.B1,0.002
DLL1,0.002
OMD,0.002
IGFBP.5,0.002
sCD163,0.002
IL.2.sRa,0.002
FCAR,0.002
Notch.3,0.002
NRX3B,0.002
FSTL1,0.002
MK12,0.002
IL.22,0.002
KI3L2,0.002
amyloid.precursor.protein,0.002
S100A4,0.002
IGFBP.1,0.002
HNRPQ,0.002
IDS,0.002
PDXK,0.002
N.terminal.pro.BNP,0.002
FABPL,0.002
CD40.ligand..soluble,0.002
KEAP1,0.001
RNase.H1,0.001
Apo.L1,0.001
DKK1,0.001
Marapsin,0.001
LY86,0.001
GNS,0.001
Cadherin.6,0.001
GCP.2,0.001
YKL.40,0.001
HSP.27,0.001
GPDA,0.001
Osteocalcin,0.001
LYPD3,0.001
EFNB1,0.001
FAM3D,0.001
S100A6,0.001
MUC1,0.001
IL.23,0.001
Protein.disulfide.isomerase,0.001
PFD5,0.001
paraoxonase.1,0.001
kallikrein.5,0.001
SEM5A,0.001
X14.3.3.protein.zeta.delta,0.001
C3adesArg,0.001
Azurocidin,0.001
Sonic.Hedgehog,0.001
Siglec.7,0.001
KI3S1,0.001
BGH3,0.001
Aggrecan,0.001
URB,0.001
TrATPase,0.001
ROBO3,0.001
S100A7,0.001
Nucleoside.diphosphate.kinase.A,0.001
HINT1,0.001
eIF.4H,0.001
ARGI1,0.001
X3HAO,0.001
Myokinase..human,0.001
DAPK2,0.001
CRP,0.001
AMNLS,0.001
IL.22BP,0.001
LAG.1,0.001
IL.17F,0.001
CD226,0.001
LTBP4,0.001
DLL4,0.001
Carbonic.Anhydrase.X,0.001
X14.3.3,0.001
PGRP.S,0.001
IMDH1,0.001
PDK1,0.001
PSME3,0.001
TIMD3,0.001
IL.1F7,0.001
IGFBP.7,0.001
IL.17D,0.001
IgE,0.001
HB.EGF,0.001
Coagulation.Factor.IXab,0.001
TAK1.TAB1,0.001
PDE3A,0.001
MMP.17,0.001
ST4S6,0.001
SPARCL1,0.001
FCRL3,0.001
BCL2.like.1.protein,0.001
B7.H2,0.001
SPTA2,0.001
RS3,0.001
PUR8,0.001
PPase,0.001
ART,0.001
Activin.RIB,0.001
Bone.proteoglycan.II,0.001
BCMA,0.001
Carbonic.anhydrase.6,0.001
TFPI,0.001
FST,0.001
Fibronectin,0.001
BPI,0.001
HSP.70,0.001
FGF.4,0.001
PAK3,0.001
PIM1,0.001
IL.4.sR,0.001
Haptoglobin..Mixed.Type,0.001
NCAM.120,0.001
IL.5.Ra,0.001
C5b..6.Complex,0.001
hnRNP.K,0.001
GPC5,0.001
Fibrinogen.g.chain.dimer,0.001
Esterase.D,0.001
Prothrombin,0.001
Dkk.4,0.001
CDK8.cyclin.C,0.001
NAGK,0.001
TMA,0.001
BFL1,0.001
PPAC,0.001
NACA,0.001
DC.SIGNR,0.001
Lipocalin.2,0.001
kallikrein.8,0.001
RAD51,0.001
PKC.D,0.001
C5a,0.001
Elafin,0.001
DnaJ.homolog,0.001
MAPK5,0.001
KPCT,0.001
EPHA3,0.001
EphA1,0.001
CD27,0.001
Fas..soluble,0.001
BAFF.Receptor,0.001
Factor.I,0.001
HSP.90a.b,0.001
ERBB4,0.001
ERBB3,0.001
C7,0.001
C3a,0.001
LRP1B,0.001
MP2K3,0.001
PTH,0.001
TNF.a,0.001
IL.6,0.001
RSPO2,0.001
HMG.1,0.001
