,"{'max_depth': 3, 'reg_alpha': 0}","{'max_depth': 3, 'reg_alpha': 0.5}","{'max_depth': 3, 'reg_alpha': 1}","{'max_depth': 3, 'reg_alpha': 2}","{'max_depth': 3, 'reg_alpha': 5}","{'max_depth': 6, 'reg_alpha': 0}","{'max_depth': 6, 'reg_alpha': 0.5}","{'max_depth': 6, 'reg_alpha': 1}","{'max_depth': 6, 'reg_alpha': 2}","{'max_depth': 6, 'reg_alpha': 5}","{'max_depth': 9, 'reg_alpha': 0}","{'max_depth': 9, 'reg_alpha': 0.5}","{'max_depth': 9, 'reg_alpha': 1}","{'max_depth': 9, 'reg_alpha': 2}","{'max_depth': 9, 'reg_alpha': 5}"
CHIP,0.0007532611951468303,0.002522422317846901,0.0026985736877611637,0.00289942946613396,0.0034650381570394562,0.0009216270561669378,0.002284137970170021,0.0027038142387840677,0.0026652392728930352,0.0031085331818550784,0.0008925325268286964,0.002154286434403172,0.0026430809280871582,0.002764880433941346,0.0030372627772001083
CEBPB,0.0007768339798550948,0.0015009019946928082,0.001724463442415601,0.001501064892305604,0.0015066246586336175,0.0009189841720268169,0.00156283102466793,0.0016666537547932378,0.0015765415592261035,0.0018059741773162232,0.0008152519136595721,0.001549661529523139,0.0016210816824775505,0.001518289165714014,0.0017196574763204775
NSE,0.0015797222865590525,0.00248579761331763,0.0032627522132938607,0.002876656137726393,0.0028835363026866985,0.0012601757898815162,0.0023950414583659317,0.002296331044466056,0.002832981823955824,0.0033693749984513555,0.0011538623488434293,0.0024382883522803813,0.0023576892315432356,0.0026715031827340414,0.0035321110634953293
PIAS4,0.0018553670449144176,0.0016305447442947242,0.0015327554859250604,0.0015550444561390638,0.0014579420243103739,0.0014405345208377154,0.0019116298107820294,0.002031278007206437,0.0016027236294957317,0.0015607507602083401,0.001277282696158562,0.0017995770625280345,0.0019001518726119997,0.001619207634251661,0.0014511608284313385
IL.10.Ra,0.0016958292799559135,0.0019148343949288642,0.002008349160112337,0.0016545306498252095,0.00183462322028184,0.0011711446918503835,0.0015433280329692938,0.001558562899309426,0.0016070356709135375,0.0018636123938312729,0.001014562527166215,0.0014626835904611296,0.001535447452481107,0.0015248553200803532,0.001957539760047675
STAT3,0.0034275067924436397,0.003713636863647372,0.0034167946280920783,0.003137924628930044,0.0036647813900136873,0.0028205253308713155,0.0031475599153950114,0.0033971817276424875,0.003465043821305871,0.003928627293647683,0.002288206866107917,0.002778633471032694,0.0032299072353988404,0.0036536981810696813,0.00334328048174189
IRF1,0.0016019486104562682,0.0019398688815300891,0.0018813449934353898,0.002205786143645371,0.0014274620993692151,0.0012020842240774128,0.002034502281978424,0.001960251719161435,0.0018262676646161862,0.0016299952963123227,0.0011272492431485199,0.0021826025336936436,0.0018612950071075708,0.0016254180536080065,0.001566147435855765
c.Jun,0.0020666528528150902,0.0017603014489304362,0.0020767417943155305,0.0015145533055580453,0.001538994985661788,0.0020976591801957823,0.0020754394479322014,0.0019970468619383373,0.0019086503562857492,0.0015984168242162108,0.0017727557184844772,0.002081688747208091,0.0018922719880835577,0.0016474699402219816,0.001569745056342699
Mcl.1,0.0031798714272202725,0.003310584127375407,0.00342818878688663,0.002890902526699364,0.0029012172919967135,0.0029240361335687855,0.003043764161309582,0.0030758974399755024,0.0026542984097306472,0.002745890675229951,0.002981398232480933,0.0028856111219196846,0.00304625859293568,0.002483064986765809,0.002792683511077993
OAS1,0.0007915235853164842,0.0008817208082699489,0.0008977806503627467,0.0008198098137979626,0.0009323207733906378,0.0006664655119518595,0.0007823217288445486,0.0008342272594724715,0.0007026801666725877,0.0009903287791804929,0.0005784695603710163,0.0008377549894213679,0.0007702430176928588,0.0005990343063159393,0.0009433966751221215
c.Myc,0.0014879173701909914,0.0012858330603194507,0.001409053902698302,0.0010937893120417988,0.0010335245484532252,0.0015287306854267855,0.0017342367524445276,0.0017040033422901898,0.00121849196704907,0.0010974563839147823,0.0012280953787520154,0.0017146751962897606,0.0016466661544870707,0.0012788942002899056,0.0012764051684593096
SMAD3,0.0020033068765257234,0.00239039201007115,0.0024393019992930177,0.0023255322572713474,0.002317300500843599,0.003053536017584106,0.0026332826494598516,0.002707847411869679,0.0024602174167099545,0.0019637014106221743,0.0030694193158595736,0.002801233229403254,0.00272355635485197,0.0024292255657029464,0.0019790680600827765
